date,n_subscriber,n_review
2021/03/09,11032,1882
2021/03/10,11049,1885
2021/03/11,11068,1889
2021/03/12,11070,1891
2021/03/13,11074,1894
2021/03/14,11075,1898
2021/03/15,11093,1903
2021/03/16,11095,1904
2021/03/17,11114,1909
2021/03/18,11123,1911
2021/03/19,11143,1916
2021/03/20,11158,1921
2021/03/21,11158,1922
2021/03/22,11164,1925
2021/03/23,11176,1928
2021/03/24,11182,1928
2021/03/25,11197,1930
2021/03/26,11202,1930
2021/03/27,11213,1934
2021/03/28,11216,1935
2021/03/29,11227,1936
2021/03/30,11246,1939
2021/03/31,11260,1939
2021/04/01,11260,1939
2021/04/02,11261,1942
2021/04/03,11274,1944
2021/04/04,11287,1946
2021/04/05,11295,1948
2021/04/06,11296,1950
2021/04/07,11306,1955
2021/04/08,11308,1955
